Date,Pays,Deces,diffDeces0,diffDecesHier,pctgrow,daySince0,moyenne7
2020-03-18,Iraq,11,1,1,0.0,14.0,-0.25
2020-03-18,Irlande,2,0,0,,7.0,-1.0
2020-03-18,Italie,2503,475,345,0.38,26.0,0.2
2020-03-18,Japon,29,0,2,-1.0,34.0,-0.76
2020-03-18,Liban,3,0,0,,8.0,-1.0
2020-03-18,Malaisie,2,0,2,-1.0,1.0,-1.0
2020-03-18,Maroc,2,0,1,-1.0,8.0,-1.0
2020-03-18,"Norvège",3,3,0,,4.0,-1.0
2020-03-18,Pays-Bas,43,15,19,-0.21,12.0,0.74
2020-03-18,Philippines,12,7,0,,45.0,0.07
2020-03-18,Pologne,5,0,1,-1.0,6.0,-0.4
2020-03-18,Royaume-Uni,56,16,0,,13.0,-1.65
2020-03-18,Saint-Marin,7,4,0,,15.0,-0.33
2020-03-18,Suisse,27,1,7,-0.86,13.0,0.81
2020-03-18,"Suède",7,3,1,2.0,7.0,0.47
2020-03-18,Ukraine,2,0,1,-1.0,5.0,-1.0
2020-03-18,"Égypte",4,2,2,0.0,10.0,-0.5
2020-03-18,"Équateur",2,0,0,,4.0,-1.0
2020-03-18,"États-Unis",108,10,23,-0.57,18.0,0.21
2020-03-19,Albanie,2,0,1,-1.0,8.0,-1.0
2020-03-19,"Algérie",7,2,3,-0.33,7.0,-0.27
2020-03-19,Allemagne,28,16,4,3.0,10.0,0.72
2020-03-19,Argentine,2,1,0,,11.0,-1.0
2020-03-19,Australie,6,0,1,-1.0,18.0,-1.13
2020-03-19,Autres,7,0,0,,28.0,
2020-03-19,Autriche,4,2,1,1.0,7.0,-0.33
2020-03-19,Belgique,14,7,4,0.75,8.0,0.89
2020-03-19,"Brésil",3,3,2,0.5,2.0,0.75
2020-03-19,Bulgarie,2,1,0,,8.0,-1.0
2020-03-19,Canada,8,1,3,-0.67,10.0,0.22
2020-03-19,"Corée du Sud",84,7,3,1.33,28.0,-0.33
2020-03-19,Danemark,4,2,0,,5.0,-0.25
2020-03-19,Espagne,623,207,90,1.3,16.0,0.61
2020-03-19,France,264,108,89,0.21,33.0,0.63
2020-03-19,"Grèce",5,1,0,,8.0,-0.83
2020-03-19,Hong-Kong,4,0,0,,44.0,-1.0
2020-03-19,Inde,3,1,0,,8.0,-1.0
2020-03-19,"Indonésie",19,6,14,-0.57,8.0,-0.75
2020-03-19,Iraq,12,1,1,0.0,15.0,-0.2
